
Epoch, Val_fscore, Val_acc, Train_loss, Val_loss
1, 0.434159705284, 0.6808, 0.911233872414, 0.81269048357
2, 0.40976228775, 0.64656, 0.830090622902, 0.857007089138
3, 0.483842588165, 0.73136, 0.768577272415, 0.667239834309
4, 0.581122330862, 0.73264, 0.732853564262, 0.657691554546
5, 0.494002618721, 0.73904, 0.704079893351, 0.613194252968
6, 0.545902899125, 0.74368, 0.675265669584, 0.623710002899
7, 0.598977927106, 0.73536, 0.65226888442, 0.628901966572
8, 0.604588299708, 0.7536, 0.635371429682, 0.582104475498
9, 0.564243642, 0.74784, 0.648893719912, 0.613023505688
10, 0.524061075166, 0.76416, 0.618291205883, 0.561075125217
11, 0.63943925528, 0.77376, 0.604435860157, 0.558541959286
12, 0.664574957926, 0.78432, 0.604697617054, 0.531547739744
13, 0.64003651566, 0.78784, 0.584039024115, 0.519328202963
14, 0.654428115537, 0.7864, 0.57609983325, 0.507546085596
15, 0.66912656238, 0.7896, 0.552402996302, 0.51687189126
16, 0.671849729301, 0.79008, 0.560321238041, 0.520292018414
17, 0.704919002943, 0.80896, 0.554030534744, 0.476706024408
18, 0.674804957741, 0.80016, 0.534156497002, 0.48745912528
19, 0.643079135968, 0.7944, 0.534227652311, 0.491857365847
20, 0.679401935693, 0.79808, 0.524898638964, 0.4878510921
21, 0.694045123288, 0.80432, 0.512014565229, 0.459600971222
22, 0.677551138478, 0.8088, 0.515630838156, 0.460470205545
23, 0.702931062669, 0.80976, 0.501178939581, 0.451728251457
24, 0.638811646816, 0.77952, 0.497942280054, 0.507429876566
25, 0.725844791614, 0.81664, 0.486844711304, 0.435584640265
26, 0.729505587853, 0.80928, 0.493732198, 0.481354104042
27, 0.720828658579, 0.80384, 0.492417464018, 0.470341488361
28, 0.74608682451, 0.82528, 0.481762968302, 0.429691027641
29, 0.745244520683, 0.82288, 0.464450802326, 0.412692387819
30, 0.750001000989, 0.82624, 0.467134419203, 0.409226869106
31, 0.734050872374, 0.82416, 0.461762552738, 0.418886525393
